Linguistic,Logical-Mathematical,Spatial,Bodily-Kinesthetic,Musical,Interpersonal,Intrapersonal,Naturalistic,Programming,Data_Analysis,Creativity,Mechanical_Skills,Building_Skills,Communication,Empathy,Writing,Marketing,Design_Skills,Recommended_Career_1,Recommended_Career_2,Recommended_Career_3
52,24,28,50,96,85,99,21,1,0,1,1,0,1,1,1,0,0,Marketing Manager,Architect,Civil Engineer
25,88,42,74,26,59,59,44,1,1,1,0,0,0,1,1,1,0,Financial Analyst,Digital Marketer,Architect
86,41,91,38,20,74,33,53,0,1,1,0,0,0,0,1,0,0,Civil Engineer,Teacher,Data Scientist
49,91,68,94,24,78,85,48,0,1,0,1,1,1,0,1,1,0,Lawyer,Psychologist,Teacher
41,57,67,34,71,90,24,24,1,0,0,1,1,0,0,1,1,1,Digital Marketer,Financial Analyst,Software Developer
90,53,45,70,43,77,69,89,1,1,0,1,1,0,1,1,0,0,Software Developer,Psychologist,Doctor
66,69,40,28,67,70,53,63,1,0,1,1,0,0,1,0,1,1,Data Scientist,Civil Engineer,UX/UI Designer
88,61,63,41,72,68,73,47,1,0,1,0,0,1,1,0,0,0,Graphic Designer,Financial Analyst,Teacher
79,91,45,50,74,58,28,50,1,0,0,1,1,1,1,0,1,0,Content Writer,Psychologist,Architect
51,49,46,56,29,44,77,90,0,1,1,0,1,0,1,0,0,0,Civil Engineer,UX/UI Designer,Data Scientist
85,41,88,57,86,58,34,68,0,0,0,1,1,1,0,0,1,0,UX/UI Designer,Digital Marketer,Graphic Designer
48,76,32,44,31,51,66,89,1,1,1,0,1,0,0,0,0,0,Doctor,Civil Engineer,Psychologist
48,75,90,86,25,28,88,26,0,1,0,0,1,1,0,1,0,0,Software Developer,Data Scientist,Digital Marketer
96,63,57,52,22,34,68,97,1,1,0,0,0,1,1,1,0,0,Civil Engineer,Marketing Manager,Architect
69,20,38,30,22,69,22,29,0,0,0,1,0,0,1,1,1,0,Software Developer,Teacher,Financial Analyst
93,66,73,80,28,95,45,92,1,1,0,1,1,1,1,1,1,0,UX/UI Designer,Marketing Manager,Architect
32,61,61,47,25,93,83,42,0,1,1,0,1,1,0,1,0,0,Teacher,Doctor,Marketing Manager
65,78,35,90,83,47,83,66,1,0,1,0,1,0,1,1,1,0,Marketing Manager,Graphic Designer,Architect
32,20,54,39,29,64,62,37,0,1,1,1,1,0,1,0,0,1,Graphic Designer,Financial Analyst,Doctor
69,99,28,87,72,80,74,70,0,0,1,1,1,0,1,0,1,0,Graphic Designer,Civil Engineer,Lawyer
69,74,87,72,77,53,24,90,0,0,1,1,0,0,0,0,0,0,Digital Marketer,Graphic Designer,Civil Engineer
60,71,37,48,56,73,52,43,0,0,0,1,0,1,1,0,0,1,Lawyer,Mechanical Engineer,Marketing Manager
41,89,64,51,55,65,44,98,0,1,0,1,0,1,0,1,0,1,Data Scientist,Mechanical Engineer,UX/UI Designer
89,90,60,23,36,87,89,73,1,0,0,0,0,1,0,1,1,0,UX/UI Designer,Digital Marketer,Content Writer
88,88,49,71,66,36,41,30,0,1,1,1,0,0,0,0,0,0,Digital Marketer,Lawyer,Content Writer
64,99,40,67,84,29,49,46,1,0,1,1,1,0,1,1,1,0,Doctor,Graphic Designer,UX/UI Designer
62,47,61,58,93,53,56,99,1,0,1,0,0,1,0,1,0,1,Teacher,Software Developer,Digital Marketer
43,34,25,56,71,23,22,65,0,1,1,0,1,1,1,0,1,0,Financial Analyst,Mechanical Engineer,Data Scientist
82,46,52,30,23,62,69,24,1,1,0,1,0,0,1,1,1,1,Data Scientist,Mechanical Engineer,Software Developer
